title,category,source_file,article_count
中华人民共和国中医药法,,中华人民共和国中医药法_20161225.docx,63
中华人民共和国农业法,,中华人民共和国农业法_20121228.docx,99
中华人民共和国农村土地承包法,,中华人民共和国农村土地承包法_20181229.docx,70
中华人民共和国高等教育法,,中华人民共和国高等教育法_20181229.docx,69
中华人民共和国草原法,,中华人民共和国草原法_20210429.docx,75
中华人民共和国网络安全法,,中华人民共和国网络安全法_20251028.docx,81
中华人民共和国无障碍环境建设法,,中华人民共和国无障碍环境建设法_20230628.docx,72
中华人民共和国监察官法,,中华人民共和国监察官法_20210820.docx,68
中华人民共和国军人地位和权益保障法,,中华人民共和国军人地位和权益保障法_20210610.docx,71
中华人民共和国农产品质量安全法,,中华人民共和国农产品质量安全法_20220902.docx,81
中华人民共和国全国人民代表大会和地方各级人民代表大会代表法,,中华人民共和国全国人民代表大会和地方各级人民代表大会代表法_20250311.docx,65
中华人民共和国行政处罚法,,中华人民共和国行政处罚法_20210122.docx,86
中华人民共和国香港特别行政区驻军法,,中华人民共和国香港特别行政区驻军法_19961230.docx,30
中华人民共和国固体废物污染环境防治法,,中华人民共和国固体废物污染环境防治法_20200429.docx,126
中华人民共和国放射性污染防治法,,中华人民共和国放射性污染防治法_20030628.docx,63
中华人民共和国契税法,,中华人民共和国契税法_20200811.docx,16
中华人民共和国统计法,,中华人民共和国统计法_20240913.docx,53
中华人民共和国民营经济促进法,,中华人民共和国民营经济促进法_20250430.docx,78
中华人民共和国国家发展规划法,,中华人民共和国国家发展规划法_20260312.docx,38
中华人民共和国检察官法,,中华人民共和国检察官法_20190423.docx,70
中华人民共和国合伙企业法,,中华人民共和国合伙企业法_20060827.docx,109
中华人民共和国老年人权益保障法,,中华人民共和国老年人权益保障法_20181229.docx,85
中华人民共和国台湾同胞投资保护法,,中华人民共和国台湾同胞投资保护法_20191228.docx,14
中华人民共和国防沙治沙法,,中华人民共和国防沙治沙法_20181026.docx,47
中华人民共和国社区矫正法,,中华人民共和国社区矫正法_20191228.docx,63
中华人民共和国领事特权与豁免条例,,中华人民共和国领事特权与豁免条例_19901030.docx,29
中华人民共和国人民防空法,,中华人民共和国人民防空法_20090827.docx,53
中华人民共和国对外关系法,,中华人民共和国对外关系法_20230628.docx,45
中华人民共和国军事设施保护法,,中华人民共和国军事设施保护法_20210610.docx,72
中华人民共和国慈善法,,中华人民共和国慈善法_20231229.docx,125
中华人民共和国香港特别行政区基本法,,中华人民共和国香港特别行政区基本法_19900404.docx,161
中华人民共和国档案法,,中华人民共和国档案法_20200620.docx,53
中国人民解放军军官军衔条例,,中国人民解放军军官军衔条例_19940512.docx,35
中华人民共和国黑土地保护法,,中华人民共和国黑土地保护法_20220624.docx,38
中华人民共和国国歌法,,中华人民共和国国歌法_20170901.docx,16
中华人民共和国劳动合同法,,中华人民共和国劳动合同法_20121228.docx,98
中华人民共和国国家安全法,,中华人民共和国国家安全法_20150701.docx,84
中华人民共和国危险化学品安全法,,中华人民共和国危险化学品安全法_20251227.docx,127
中华人民共和国消费者权益保护法,,中华人民共和国消费者权益保护法_20131025.docx,63
中华人民共和国人民武装警察法,,中华人民共和国人民武装警察法_20200620.docx,51
中华人民共和国行政诉讼法,,中华人民共和国行政诉讼法_20170627.docx,103
中华人民共和国劳动争议调解仲裁法,,中华人民共和国劳动争议调解仲裁法_20071229.docx,54
中华人民共和国防洪法,,中华人民共和国防洪法_20160702.docx,65
中华人民共和国疫苗管理法,,中华人民共和国疫苗管理法_20190629.docx,100
中华人民共和国深海海底区域资源勘探开发法,,中华人民共和国深海海底区域资源勘探开发法_20160226.docx,29
中华人民共和国车辆购置税法,,中华人民共和国车辆购置税法_20181229.docx,19
中华人民共和国外国国家豁免法,,中华人民共和国外国国家豁免法_20230901.docx,23
中华人民共和国反恐怖主义法,,中华人民共和国反恐怖主义法_20180427.docx,97
中华人民共和国国旗法,,中华人民共和国国旗法_20201017.docx,24
中华人民共和国枪支管理法,,中华人民共和国枪支管理法_20150424.docx,50
中华人民共和国中国人民银行法,,中华人民共和国中国人民银行法_20031227.docx,53
中华人民共和国电子商务法,,中华人民共和国电子商务法_20180831.docx,89
中华人民共和国预算法,,中华人民共和国预算法_20181229.docx,101
中华人民共和国防震减灾法,,中华人民共和国防震减灾法_20081227.docx,93
中华人民共和国城市房地产管理法,,中华人民共和国城市房地产管理法_20190826.docx,73
中华人民共和国文物保护法,,中华人民共和国文物保护法_20241108.docx,101
中华人民共和国畜牧法,,中华人民共和国畜牧法_20221030.docx,94
中华人民共和国个人独资企业法,,中华人民共和国个人独资企业法_19990830.docx,48
中华人民共和国增值税法,,中华人民共和国增值税法_20241225.docx,38
中华人民共和国戒严法,,中华人民共和国戒严法_19960301.docx,32
中华人民共和国农民专业合作社法,,中华人民共和国农民专业合作社法_20171227.docx,74
中华人民共和国英雄烈士保护法,,中华人民共和国英雄烈士保护法_20180427.docx,30
中华人民共和国治安管理处罚法,,中华人民共和国治安管理处罚法_20250627.docx,144
反分裂国家法,,反分裂国家法_20050314.docx,10
中华人民共和国户口登记条例,,中华人民共和国户口登记条例_19580109.docx,24
中华人民共和国节约能源法,,中华人民共和国节约能源法_20181026.docx,87
中华人民共和国人民警察法,,中华人民共和国人民警察法_20121026.docx,52
中华人民共和国监察法,,中华人民共和国监察法_20241225.docx,78
中华人民共和国民事诉讼法,,中华人民共和国民事诉讼法_20230901.docx,306
中华人民共和国地方各级人民代表大会,,中华人民共和国地方各级人民代表大会和地方各级人民政府组织法_20220311.docx,90
中华人民共和国突发公共卫生事件应对法,,中华人民共和国突发公共卫生事件应对法_20250912.docx,65
中华人民共和国母婴保健法,,中华人民共和国母婴保健法_20171104.docx,39
中华人民共和国城乡规划法,,中华人民共和国城乡规划法_20190423.docx,70
中华人民共和国澳门特别行政区基本法,,中华人民共和国澳门特别行政区基本法_19930331.docx,146
中华人民共和国水污染防治法,,中华人民共和国水污染防治法_20170627.docx,103
中华人民共和国铁路法,,中华人民共和国铁路法_20150424.docx,74
中华人民共和国煤炭法,,中华人民共和国煤炭法_20161107.docx,67
中华人民共和国外国中央银行,,中华人民共和国外国中央银行财产司法强制措施豁免法_20051025.docx,4
中华人民共和国促进科技成果转化法,,中华人民共和国促进科技成果转化法_20150829.docx,52
第五届全国人民代表大会常务委员会关于批准《国务院关于老干部离职休养的暂行规定》的决议,,第五届全国人民代表大会常务委员会关于批准《国务院关于老干部离职休养的暂行规定》的决议_19800929.docx,0
中华人民共和国海岛保护法,,中华人民共和国海岛保护法_20091226.docx,58
中华人民共和国注册会计师法,,中华人民共和国注册会计师法_20140831.docx,46
中华人民共和国进出境动植物检疫法,,中华人民共和国进出境动植物检疫法_20090827.docx,50
中华人民共和国证券法,,中华人民共和国证券法_20191228.docx,226
中华人民共和国渔业法,,中华人民共和国渔业法_20251227.docx,90
中华人民共和国学位法,,中华人民共和国学位法_20240426.docx,45
中华人民共和国民法典,,中华人民共和国民法典_20200528.docx,999
中华人民共和国环境影响评价法,,中华人民共和国环境影响评价法_20181229.docx,37
中华人民共和国社会救助法,,中华人民共和国社会救助法_20260430.docx,78
中华人民共和国循环经济促进法,,中华人民共和国循环经济促进法_20181026.docx,58
中华人民共和国陆地国界法,,中华人民共和国陆地国界法_20211023.docx,62
中华人民共和国预防未成年人犯罪法,,中华人民共和国预防未成年人犯罪法_20201226.docx,68
中华人民共和国证券投资基金法,,中华人民共和国证券投资基金法_20150424.docx,154
中华人民共和国矿产资源法,,中华人民共和国矿产资源法_20241108.docx,80
中华人民共和国产品质量法,,中华人民共和国产品质量法_20181229.docx,74
中华人民共和国公共文化服务保障法,,中华人民共和国公共文化服务保障法_20161225.docx,65
中华人民共和国拍卖法,,中华人民共和国拍卖法_20150424.docx,68
中华人民共和国银行业监督管理法,,中华人民共和国银行业监督管理法_20061031.docx,52
中华人民共和国科学技术进步法,,中华人民共和国科学技术进步法_20211224.docx,117
中华人民共和国公益事业捐赠法,,中华人民共和国公益事业捐赠法_19990628.docx,32
中华人民共和国专利法,,中华人民共和国专利法_20201017.docx,82
中华人民共和国反间谍法,,中华人民共和国反间谍法_20230426.docx,71
中华人民共和国体育法,,中华人民共和国体育法_20220624.docx,122
中华人民共和国教育法,,中华人民共和国教育法_20210429.docx,86
中华人民共和国全国人民代表大会,,中华人民共和国全国人民代表大会常务委员会议事规则_20220624.docx,52
中华人民共和国特种设备安全法,,中华人民共和国特种设备安全法_20130629.docx,101
中华人民共和国残疾人保障法,,中华人民共和国残疾人保障法_20181026.docx,68
中华人民共和国国防交通法,,中华人民共和国国防交通法_20160903.docx,60
中华人民共和国国际刑事司法协助法,,中华人民共和国国际刑事司法协助法_20181026.docx,70
中华人民共和国义务教育法,,中华人民共和国义务教育法_20181229.docx,63
中华人民共和国港口法,,中华人民共和国港口法_20181229.docx,62
中华人民共和国行政复议法,,中华人民共和国行政复议法_20230901.docx,90
中华人民共和国人民陪审员法,,中华人民共和国人民陪审员法_20180427.docx,32
中华人民共和国兵役法,,中华人民共和国兵役法_20210820.docx,65
中华人民共和国法官法,,中华人民共和国法官法_20190423.docx,69
中华人民共和国工会法,,中华人民共和国工会法_20211224.docx,58
中华人民共和国土壤污染防治法,,中华人民共和国土壤污染防治法_20180831.docx,99
中华人民共和国信托法,,中华人民共和国信托法_20010428.docx,74
中华人民共和国退役军人保障法,,中华人民共和国退役军人保障法_20201111.docx,85
中华人民共和国著作权法,,中华人民共和国著作权法_20201111.docx,67
中华人民共和国野生动物保护法,,中华人民共和国野生动物保护法_20221230.docx,64
中华人民共和国农村土地承包,,中华人民共和国农村土地承包经营纠纷调解仲裁法_20090627.docx,53
中华人民共和国道路交通安全法,,中华人民共和国道路交通安全法_20210429.docx,124
中华人民共和国国籍法,,中华人民共和国国籍法_19800910.docx,18
中华人民共和国出口管制法,,中华人民共和国出口管制法_20201017.docx,49
中华人民共和国青藏高原生态保护法,,中华人民共和国青藏高原生态保护法_20230426.docx,63
中华人民共和国律师法,,中华人民共和国律师法_20170901.docx,60
中华人民共和国专属经济区和大陆架法,,中华人民共和国专属经济区和大陆架法_19980626.docx,16
中华人民共和国基本医疗卫生与健康促进法,,中华人民共和国基本医疗卫生与健康促进法_20191228.docx,110
中华人民共和国反有组织犯罪法,,中华人民共和国反有组织犯罪法_20211224.docx,77
中华人民共和国归侨侨眷权益保护法,,中华人民共和国归侨侨眷权益保护法_20090827.docx,30
中华人民共和国集会游行示威法,,中华人民共和国集会游行示威法_20090827.docx,36
中华人民共和国就业促进法,,中华人民共和国就业促进法_20150424.docx,69
中华人民共和国反不正当竞争法,,中华人民共和国反不正当竞争法_20250627.docx,41
中华人民共和国农业技术推广法,,中华人民共和国农业技术推广法_20240426.docx,39
中华人民共和国清洁生产促进法,,中华人民共和国清洁生产促进法_20120229.docx,40
中华人民共和国乡村振兴促进法,,中华人民共和国乡村振兴促进法_20210429.docx,74
中华人民共和国数据安全法,,中华人民共和国数据安全法_20210610.docx,55
中华人民共和国教师法,,中华人民共和国教师法_20090827.docx,43
中华人民共和国农村集体经济组织法,,中华人民共和国农村集体经济组织法_20240628.docx,67
中华人民共和国企业破产法,,中华人民共和国企业破产法_20060827.docx,136
中华人民共和国耕地占用税法,,中华人民共和国耕地占用税法_20181229.docx,16
第五届全国人民代表大会常务委员会关于批准,,第五届全国人民代表大会常务委员会关于批准《国务院关于职工探亲待遇的规定》的决议_19810306.docx,0
中华人民共和国国防动员法,,中华人民共和国国防动员法_20100226.docx,72
中华人民共和国湿地保护法,,中华人民共和国湿地保护法_20211224.docx,65
中华人民共和国电子签名法,,中华人民共和国电子签名法_20190423.docx,36
中华人民共和国预备役人员法,,中华人民共和国预备役人员法_20221230.docx,65
中华人民共和国国家公园法,,中华人民共和国国家公园法_20250912.docx,63
中华人民共和国建筑法,,中华人民共和国建筑法_20190423.docx,85
中华人民共和国外交特权与豁免条例,,中华人民共和国外交特权与豁免条例_19860905.docx,29
中华人民共和国公共图书馆法,,中华人民共和国公共图书馆法_20181026.docx,55
中华人民共和国森林法,,中华人民共和国森林法_20191228.docx,84
中华人民共和国保险法,,中华人民共和国保险法_20150424.docx,185
中华人民共和国关税法,,中华人民共和国关税法_20240426.docx,72
第五届全国人民代表大会常务委员会关于批准《广东省经济特区条例》的决议,,第五届全国人民代表大会常务委员会关于批准《广东省经济特区条例》的决议_19800826.docx,26
中华人民共和国反家庭暴力法,,中华人民共和国反家庭暴力法_20151227.docx,38
中华人民共和国矿山安全法,,中华人民共和国矿山安全法_20090827.docx,50
中华人民共和国人民检察院组织法,,中华人民共和国人民检察院组织法_20181026.docx,53
中华人民共和国公务员法,,中华人民共和国公务员法_20181229.docx,113
中华人民共和国公司法,,中华人民共和国公司法_20231229.docx,266
中华人民共和国进出口商品检验法,,中华人民共和国进出口商品检验法_20210429.docx,39
中华人民共和国中小企业促进法,,中华人民共和国中小企业促进法_20170901.docx,61
中华人民共和国反垄断法,,中华人民共和国反垄断法_20220624.docx,70
中华人民共和国反电信网络诈骗法,,中华人民共和国反电信网络诈骗法_20220902.docx,50
中华人民共和国现役军官法,,中华人民共和国现役军官法_20001228.docx,54
中华人民共和国监狱法,,中华人民共和国监狱法_20121026.docx,78
中华人民共和国全国人民代表大会议事规则,,中华人民共和国全国人民代表大会议事规则_20210311.docx,66
中华人民共和国烟叶税法,,中华人民共和国烟叶税法_20171227.docx,10
中华人民共和国劳动法,,中华人民共和国劳动法_20181229.docx,107
中华人民共和国个人所得税法,,中华人民共和国个人所得税法_20180831.docx,22
中华人民共和国烟草专卖法,,中华人民共和国烟草专卖法_20150424.docx,43
中华人民共和国海南自由贸易港法,,中华人民共和国海南自由贸易港法_20210610.docx,57
中华人民共和国长江保护法,,中华人民共和国长江保护法_20201226.docx,96
中华人民共和国商业银行法,,中华人民共和国商业银行法_20150829.docx,95
中华人民共和国人口与计划生育法,,中华人民共和国人口与计划生育法_20210820.docx,48
中华人民共和国水法,,中华人民共和国水法_20160702.docx,82
中华人民共和国国家勋章和国家荣誉称号法,,中华人民共和国国家勋章和国家荣誉称号法_20151227.docx,21
中华人民共和国国家赔偿法,,中华人民共和国国家赔偿法_20121026.docx,42
中华人民共和国广告法,,中华人民共和国广告法_20210429.docx,74
中华人民共和国民族区域自治法,,中华人民共和国民族区域自治法_20010228.docx,74
中华人民共和国外商投资法,,中华人民共和国外商投资法_20190315.docx,42
中华人民共和国法治宣传教育法,,中华人民共和国法治宣传教育法_20250912.docx,65
中华人民共和国印花税法,,中华人民共和国印花税法_20210610.docx,20
中华人民共和国原子能法,,中华人民共和国原子能法_20250912.docx,62
中华人民共和国邮政法,,中华人民共和国邮政法_20150424.docx,87
中华人民共和国非物质文化遗产法,,中华人民共和国非物质文化遗产法_20110225.docx,45
中华人民共和国社会保险法,,中华人民共和国社会保险法_20181229.docx,98
中华人民共和国军人保险法,,中华人民共和国军人保险法_20120427.docx,51
中华人民共和国个人信息保护法,,中华人民共和国个人信息保护法_20210820.docx,74
中华人民共和国资源税法,,中华人民共和国资源税法_20190826.docx,17
中华人民共和国企业国有资产法,,中华人民共和国企业国有资产法_20081028.docx,77
中华人民共和国票据法,,中华人民共和国票据法_20040828.docx,110
中华人民共和国香港特别行政区,,中华人民共和国香港特别行政区维护国家安全法_20200630.docx,66
中华人民共和国国防教育法,,中华人民共和国国防教育法_20240913.docx,42
中华人民共和国仲裁法,,中华人民共和国仲裁法_20250912.docx,96
中华人民共和国海关关衔条例,,中华人民共和国海关关衔条例_20030228.docx,23
中华人民共和国反食品浪费法,,中华人民共和国反食品浪费法_20210429.docx,32
中华人民共和国保守国家秘密法,,中华人民共和国保守国家秘密法_20240227.docx,65
中华人民共和国密码法,,中华人民共和国密码法_20191026.docx,44
中华人民共和国粮食安全保障法,,中华人民共和国粮食安全保障法_20231229.docx,74
中华人民共和国石油天然气管道保护法,,中华人民共和国石油天然气管道保护法_20100625.docx,61
中华人民共和国护照法,,中华人民共和国护照法_20060429.docx,26
中华人民共和国出境入境管理法,,中华人民共和国出境入境管理法_20120630.docx,93
中华人民共和国职业教育法,,中华人民共和国职业教育法_20220420.docx,69
中华人民共和国会计法,,中华人民共和国会计法_20240628.docx,51
中华人民共和国资产评估法,,中华人民共和国资产评估法_20160702.docx,55
中华人民共和国各级人民代表大会,,中华人民共和国各级人民代表大会常务委员会监督法_20241108.docx,65
中华人民共和国缔结条约程序法,,中华人民共和国缔结条约程序法_19901228.docx,21
中华人民共和国行政强制法,,中华人民共和国行政强制法_20110630.docx,71
中华人民共和国农业机械化促进法,,中华人民共和国农业机械化促进法_20181026.docx,35
中华人民共和国车船税法,,中华人民共和国车船税法_20190423.docx,13
中华人民共和国安全生产法,,中华人民共和国安全生产法_20210610.docx,119
中华人民共和国食品安全法,,中华人民共和国食品安全法_20250912.docx,154
中华人民共和国环境保护税法,,中华人民共和国环境保护税法_20251028.docx,29
中华人民共和国政府采购法,,中华人民共和国政府采购法_20140831.docx,88
中华人民共和国黄河保护法,,中华人民共和国黄河保护法_20221030.docx,122
中华人民共和国澳门特别行政区驻军法,,中华人民共和国澳门特别行政区驻军法_19990628.docx,30
中华人民共和国突发事件应对法,,中华人民共和国突发事件应对法_20240628.docx,106
中华人民共和国行政许可法,,中华人民共和国行政许可法_20190423.docx,83
中华人民共和国刑法,,中华人民共和国刑法_20201226.docx,452
中华人民共和国禁毒法,,中华人民共和国禁毒法_20071229.docx,71
中华人民共和国海警法,,中华人民共和国海警法_20210122.docx,84
中华人民共和国标准化法,,中华人民共和国标准化法_20171104.docx,45
中华人民共和国城市居民委员会组织法,,中华人民共和国城市居民委员会组织法_20251028.docx,50
中华人民共和国红十字会法,,中华人民共和国红十字会法_20170224.docx,30
中华人民共和国环境保护法,,中华人民共和国环境保护法_20140424.docx,70
中华人民共和国爱国主义教育法,,中华人民共和国爱国主义教育法_20231024.docx,40
中华人民共和国测绘法,,中华人民共和国测绘法_20170427.docx,68
中华人民共和国民办教育促进法,,中华人民共和国民办教育促进法_20181229.docx,67
中华人民共和国公路法,,中华人民共和国公路法_20171104.docx,87
中华人民共和国能源法,,中华人民共和国能源法_20241108.docx,80
中华人民共和国未成年人保护法,,中华人民共和国未成年人保护法_20240426.docx,132
中华人民共和国刑事诉讼法,,中华人民共和国刑事诉讼法_20181026.docx,308
中华人民共和国公证法,,中华人民共和国公证法_20170901.docx,47
中华人民共和国噪声污染防治法,,中华人民共和国噪声污染防治法_20211224.docx,90
中华人民共和国大气污染防治法,,中华人民共和国大气污染防治法_20181026.docx,129
中华人民共和国反外国制裁法,,中华人民共和国反外国制裁法_20210610.docx,16
中华人民共和国海上交通安全法,,中华人民共和国海上交通安全法_20210429.docx,122
中华人民共和国居民身份证法,,中华人民共和国居民身份证法_20111029.docx,23
中华人民共和国学前教育法,,中华人民共和国学前教育法_20241108.docx,85
中华人民共和国境外,,中华人民共和国境外非政府组织境内活动管理法_20171104.docx,54
中华人民共和国海洋环境保护法,,中华人民共和国海洋环境保护法_20231024.docx,124
中华人民共和国国家情报法,,中华人民共和国国家情报法_20180427.docx,32
中华人民共和国立法法,,中华人民共和国立法法_20230313.docx,120
中国人民解放军选举全国人民代表大会,,中国人民解放军选举全国人民代表大会和县级以上地方各级人民代表大会代表的办法_20210429.docx,40
中华人民共和国人民调解法,,中华人民共和国人民调解法_20100828.docx,35
中华人民共和国药品管理法,,中华人民共和国药品管理法_20190826.docx,155
中华人民共和国海商法,,中华人民共和国海商法_20251028.docx,310
中华人民共和国全国人民代表大会组织法,,中华人民共和国全国人民代表大会组织法_20210311.docx,49
中华人民共和国土地管理法,,中华人民共和国土地管理法_20190826.docx,87
中华人民共和国人民法院组织法,,中华人民共和国人民法院组织法_20181026.docx,59
中华人民共和国全国人民代表大会和地方,,中华人民共和国全国人民代表大会和地方各级人民代表大会选举法_20201017.docx,60
中华人民共和国审计法,,中华人民共和国审计法_20211023.docx,60
中华人民共和国反洗钱法,,中华人民共和国反洗钱法_20241108.docx,65
中华人民共和国国务院组织法,,中华人民共和国国务院组织法_20240311.docx,20
中华人民共和国船舶吨税法,,中华人民共和国船舶吨税法_20181026.docx,22
中华人民共和国商标法,,中华人民共和国商标法_20190423.docx,73
中华人民共和国可再生能源法,,中华人民共和国可再生能源法_20091226.docx,33
中华人民共和国航道法,,中华人民共和国航道法_20160702.docx,48
中华人民共和国村民委员会组织法,,中华人民共和国村民委员会组织法_20251028.docx,50
中华人民共和国传染病防治法,,中华人民共和国传染病防治法_20250430.docx,115
中华人民共和国驻外外交人员法,,中华人民共和国驻外外交人员法_20091031.docx,48
中华人民共和国法律援助法,,中华人民共和国法律援助法_20210820.docx,71
中华人民共和国民族团结进步促进法,,中华人民共和国民族团结进步促进法_20260312.docx,65
中华人民共和国消防法,,中华人民共和国消防法_20210429.docx,74
中华人民共和国献血法,,中华人民共和国献血法_19971229.docx,24
中华人民共和国期货和衍生品法,,中华人民共和国期货和衍生品法_20220420.docx,156
中华人民共和国海事诉讼特别程序法,,中华人民共和国海事诉讼特别程序法_19991225.docx,127
中华人民共和国领海及毗连区法,,中华人民共和国领海及毗连区法_19920225.docx,17
中华人民共和国水土保持法,,中华人民共和国水土保持法_20101225.docx,60
中华人民共和国公职人员政务处分法,,中华人民共和国公职人员政务处分法_20200620.docx,68
中华人民共和国核安全法,,中华人民共和国核安全法_20170901.docx,94
中华人民共和国涉外民事关系法律适用法,,中华人民共和国涉外民事关系法律适用法_20101028.docx,54
中华人民共和国价格法,,中华人民共和国价格法_19971229.docx,48
中华人民共和国消防救援衔条例,,中华人民共和国消防救援衔条例_20181026.docx,28
中华人民共和国职业病防治法,,中华人民共和国职业病防治法_20181229.docx,88
中华人民共和国旅游法,,中华人民共和国旅游法_20181026.docx,112
中华人民共和国人民警察警衔条例,,中华人民共和国人民警察警衔条例_20090827.docx,26
中华人民共和国电影产业促进法,,中华人民共和国电影产业促进法_20161107.docx,60
中华人民共和国民用航空法,,中华人民共和国民用航空法_20251227.docx,262
中华人民共和国海域使用管理法,,中华人民共和国海域使用管理法_20011027.docx,54
中华人民共和国国境卫生检疫法,,中华人民共和国国境卫生检疫法_20240628.docx,57
中华人民共和国科学技术普及法,,中华人民共和国科学技术普及法_20241225.docx,60
中华人民共和国生物安全法,,中华人民共和国生物安全法_20240426.docx,88
中华人民共和国城市维护建设税法,,中华人民共和国城市维护建设税法_20200811.docx,11
中华人民共和国引渡法,,中华人民共和国引渡法_20001228.docx,55
中华人民共和国家庭教育促进法,,中华人民共和国家庭教育促进法_20211023.docx,55
中华人民共和国种子法,,中华人民共和国种子法_20211224.docx,92
中华人民共和国医师法,,中华人民共和国医师法_20210820.docx,67
中华人民共和国精神卫生法,,中华人民共和国精神卫生法_20180427.docx,85
中华人民共和国国防法,,中华人民共和国国防法_20201226.docx,73
中华人民共和国对外贸易法,,中华人民共和国对外贸易法_20251227.docx,83
中华人民共和国招标投标法,,中华人民共和国招标投标法_20171227.docx,68
中华人民共和国妇女权益保障法,,中华人民共和国妇女权益保障法_20221030.docx,86
中华人民共和国海关法,,中华人民共和国海关法_20210429.docx,102
中华人民共和国动物防疫法,,中华人民共和国动物防疫法_20210122.docx,113
中华人民共和国国徽法,,中华人民共和国国徽法_20201017.docx,19
中华人民共和国气象法,,中华人民共和国气象法_20161107.docx,45
中华人民共和国电力法,,中华人民共和国电力法_20181229.docx,75
中华人民共和国计量法,,中华人民共和国计量法_20181026.docx,34
中华人民共和国企业所得税法,,中华人民共和国企业所得税法_20181229.docx,60
中华人民共和国税收征收管理法,,中华人民共和国税收征收管理法_20150424.docx,94
中华人民共和国国家通用语言文字法,,中华人民共和国国家通用语言文字法_20251227.docx,32
